Key,Type,Desc,English,Russian,Chinese (Taiwan),Chinese (PRC),French,German,Indonesian,Italian,Japanese,Korean,Malay,Polish,Portuguese (Brazil),Portuguese (Portugal),Spanish (Spain),Spanish (Latin Americas),Thai,Turkish,Vietnamese
GET_ITEM_WINDOW_CAPTION,Text,,Watch ad and get:,Посмотри рекламу и получи:,觀看廣告並取得：,观看广告并获得：,Visionnez une pub et recevez :,Werbung ansehen und Folgendes erhalten:,Lihat dan dapatkan:,Guarda lo spot e ottieni:,広告を視聴してゲット:,광고 시청 보상:,Tonton iklan dan dapatkan:,Obejrzyj reklamę i odbierz:,Veja um anúncio e ganhe:,Vê um anúncio e recebe:,Mira un anuncio y gana:,Mira un comercial y gana:,ดูโฆษณาเพื่อรับ:,Reklam izle ve kazan:,Xem quảng cáo và nhận:
GET_ITEM_WINDOW_OK_BUTTON,Text,,Get item!,Получить!,取得道具！,获得物品！,Obtenir !,Item nehmen!,Dapatkan item!,Ottieni oggetto!,アイテムを入手！,아이템을 획득하세요!,Dapatkan barang!,Odbierz element!,Obter item!,Obter item!,¡Conseguir!,¡Conseguir!,รับไอเท็ม!,Öğeyi al!,Nhận vật phẩm!
INGAME_BEST_SCORE,Text,"Текст {value} надо оставить во всех переводах, на его место подставляется количество очков",Best: {value},Рекорд: {value},最佳：{value},最佳：{value},Record : {value},Höchstwert: {value},Terbaik: {nilai},Migliore: {value},ベスト: {value},최고: {value},Terbaik: {nilai},Najlepszy: {value},Recorde: {value},Melhor: {value},Mejor: {value},Mejor: {value},ดีที่สุด: {value},Rekor: {value},Tốt nhất: {value}
MOVE_TO_AIM,Text,,Move to aim,"Двигай, чтобы целиться",移動來瞄準,移动以瞄准,Déplacer pour viser,Zum Zielen bewegen,Pindah ke tujuan,Muovi per mirare,移動して狙う,이동하여 조준,Bergerak untuk sasarkan,"Przesuwaj, aby celować",Mova para mirar,Move-te para apontar,Mueve para apuntar,Mueve para apuntar,ขยับเพื่อเล็ง,Nişan almak için hareket ettir,Di chuyển để ngắm bắn
MUSIC_CHECKBOX,Text,,Music,Музыка,音樂,音乐,Musique,Musik,Musik,Musica,ミュージック,음악,Muzik,Muzyka,Música,Música,Música,Música,เพลง,Müzik,Âm nhạc
New highscore!,Text,,New highscore!,Новый рекорд!,新最高分！,新最高分！,Nouveau record !,Neuer Höchstwert!,NIlai tertinggi baru!,Nuovo punteggio record!,ハイスコア更新！,고득점 달성!,Skor tinggi baru!,Nowy rekord!,Novo recorde!,Novo recorde!,¡Nuevo récord!,¡Nuevo récord!,สถิติใหม่!,Yeni rekor!,Kỷ lục mới!
OK_BTN,Text,,OK,ОК,確定,确定,OK,OK,Oke,OK,OK,OK,OK,OK,OK,OK,Vale,OK,ตกลง,Tamam,OK
RATE_WINDOW_CAPTION,Text,,Do you like the game?,Вам нравится игра?,你喜歡遊戲嗎？,你喜欢这款游戏吗？,Le jeu vous plaît ?,Gefällt dir das Spiel?,Apakah kamu suka game ini?,Ti piace il gioco?,ゲームを気に入りましたか？,게임을 즐기셨나요?,Adakah anda suka permainan?,Podobała ci się gra?,Gostou do jogo?,Gostas do jogo?,¿Te gusta el juego?,¿Te gusta el juego?,คุณชอบเกมของเราไหม?,Oyunu sevdin mi?,Bạn có thích trò chơi này không?
RATE_WINDOW_HINT,Text,,Please select some stars,Выберите несколько звезд,請選擇一些星星,请选择星星,Choisissez des étoiles,Bitte wähle einige Sterne aus,Silakan pilih beberapa bintang,Seleziona alcune stelle,スターを選んでください,별점을 선택해주세요,Sila pilih beberapa bintang,Wybierz gwiazdki,Selecione a quantidade de estrelas,Escolhe umas estrelas,¿Cuántas estrellas nos pones?,Selecciona estrellas.,โปรดให้ดาว,Lütfen bize biraz yıldız ver,Hãy chọn một số ngôi sao
RATE_WINDOW_QUESTION,Text,,We will be happy if you rate us!,"Будем рады, если оцените нас",給予我們評價的話，我們會非常開心！,能给些评价的话我们会非常开心！,Ce serait sympa de nous évaluer !,Wir würden uns über eine Bewertung freuen!,Kami senang jika kamu memberi nilai untuk kami!,Ti preghiamo di darci un voto!,評価をお願いします！,여러분의 평가는 항상 소중하답니다!,Kami akan gembira jika anda menilai kami!,Będziemy wdzięczni za ocenienie nas!,Vamos ficar felizes se nos avaliar!,Adoraríamos receber a tua avaliação!,¡Nos encantaría que nos valores!,¡Nos encantaría si nos valoras!,เรายินดีอย่างยิ่งสำหรับความเห็นของคุณ!,Bizi değerlendirirsen çok seviniriz!,Chúng tôi sẽ rất vui nếu bạn xếp hạng chúng tôi!
RATE_WINDOW_RATE_BUTTON,Text,,Rate us!,Оценить!,給予我們評價,评价我们吧！,Évaluez-nous !,Bewerte uns!,Beri nilai untuk kami!,Dacci un voto!,評価する,평가해주세요!,Nilaikan kami!,Oceń nas!,Avalie-nos!,Avalia-nos!,¡Valóranos!,¡Valóranos!,ให้คะแนนเรา!,Bize not ver!,Xếp hạng!
REMOVE_ADS_WINDOW_BUTTON,Text,,Remove ads,Отключить рекламу,移除廣告,移除广告,Supprimer les pubs,Werbungen entfernen,Hilangkan iklan,Rimuovi spot,広告を非表示にする,광고 제거,Keluarkan iklan,Usuń reklamy,Remover anúncios,Remover anúncios,Quitar anuncios,Quitar comerciales,ลบโฆษณา,Reklamları kaldır,Loại bỏ q.cáo
RESTART_LEVEL_BTN,Text,,Restart level,Начать заново,重置等級,重置关卡,Recommencer le niveau,Level neu starten,Mulai ulang level,Ricomincia livello,ステージを最初からはじめる,레벨 재시작,Mulakan semula tahap,Poziom od nowa,Reiniciar fase,Reiniciar nível,Reiniciar nivel,Reiniciar nivel,รีสตาร์ทด่าน,Seviyeye tekrar başla,Khởi động lại cấp độ
Restore purchases,Text,,Restore purchases,Восстановить покупки,恢復消費,恢复消费,Rétablir les achats,Kauf wiederherstellen,Simpan pembelian,Ripristina acquisti,購入済みアイテムを復元,구매 복원,Pulihkan pembelian,Przywróć zakupy,Restaurar compras,Repor compras,Restaurar compras,Restaurar compras,กู้คืนสินค้าที่ซื้อ,Satın alımları yenile,Khôi phục mua hàng
SOUND_CHECKBOX,Text,,Sound,Звуки,聲音,声音,Son,Sound,Suara,Audio,サウンド,사운드,Bunyi,Dźwięk,Áudio,Som,Sonido,Sonido,เสียง,Ses,Âm thanh
TAP_TO_SHOOT,Text,,Tap to shoot,"Нажми, чтобы выстрелить",點擊來射擊,点击以射击,Touchez pour tirer,Zum Schießen tippen,Ketuk untuk menembak,Tocca per sparare,タップして撃つ,탭하여 발사,Ketik untuk menembak,"Dotknij, aby strzelać",Toque para atirar,Toca para disparar,Toca para lanzar,Toca para lanzar,แตะเพื่อยิง,Atmak için dokun,Nhấn để bắn
VIBRATION_CHECKBOX,Text,,Vibration,Вибрация,震動,振动,Vibration,Vibration,Getaran,Vibrazione,振動,진동,Getaran,Wibracje,Vibração,Vibração,Vibración,Vibración,การสั่น,Titreşim,Rung
WIN_WINDOW_BEST_SCORE,Text,"Текст {value} надо оставить во всех переводах, на его место подставляется количество очков",Best: {value},Рекорд: {value},最佳：{value},最佳：{value},Record : {value},Höchstwert: {value},Terbaik: {nilai},Migliore: {value},ベスト: {value},최고: {value},Terbaik: {nilai},Najlepszy: {value},Recorde: {value},Melhor: {value},Mejor: {value},Mejor: {value},ดีที่สุด: {value},Rekor: {value},Tốt nhất: {value}
WIN_WINDOW_CAPTION,Text,,Congratulations!,Поздравляем!,恭喜！,恭喜你！,Félicitations !,Glückwunsch!,Selamat!,Complimenti!,おめでとう！,축하해요!,Tahniah!,Gratulacje!,Parabéns!,Parabéns!,¡Enhorabuena!,¡Felicitaciones!,ยินดีด้วย!,Tebrikler!,Xin chúc mừng!
WIN_WINDOW_NEW_HIGHSCORE,Text,,You've got new highscore!,У вас новый рекорд!,你取得了最高分！,你取得了最高分！,Vous avez battu le record !,Du hast einen neuen Höchstwert erzielt!,Kamu telah mendapatkan nilai tertinggi baru!,Hai ottenuto un nuovo punteggio record!,ハイスコアを更新しました！,고득점을 달성했군요!,Anda mendapat skor tinggi baru!,Masz nowy rekord!,Você bateu um novo recorde!,Fizeste um novo recorde!,¡Has batido un récord!,¡Creaste un nuevo récord!,คุณทำสถิติสูงสุด!,Yeni rekor kırdın!,Bạn đã có điểm cao mới!
WIN_WINDOW_NEXT_LEVEL_BTN,Text,,Play again,Сыграть еще,再次遊玩,再次游玩,Rejouer,Erneut spielen,Main lagi,Gioca di nuovo,もう一度プレイする,다시 플레이하기,Bermain lagi,Zagraj jeszcze raz,Jogar de novo,Jogar novamente,Volver a jugar,Volver a jugar,เล่นอีกครั้ง,Tekrar oyna,Chơi lại
WIN_WINDOW_REWARDED_VIDEO_BTN,Text,,Continue,Продолжить,繼續,继续,Continuer,Weiter,Lanjutkan,Continua,続ける,이어하기,Teruskan,Kontynuuj,Continuar,Continuar,Continuar,Continuar,ต่อไป,Devam et,Tiếp tục
WIN_WINDOW_SKIP_AD,Text,,"No, thanks","Нет, спасибо",不用了，謝謝,不用了，谢谢,Non merci,"Nein, danke","Tidak, terima kasih","No, grazie",視聴しない,"아뇨, 괜찮아요",Tidak mengapa,"Nie, dziękuję","Não, valeu","Não, obrigado","No, gracias","No, gracias",ไม่ล่ะ ขอบคุณ,"Hayır, teşekkürler","Không, cảm ơn"
WIN_WINDOW_YOUR_SCORE,Text,"Текст {value} надо оставить во всех переводах, на его место подставляется количество очков",Your score: {value},Вы набрали: {value},你的分數：{value},你的得分：{value},Votre score : {value},Dein Wert: {value},Nilaimu: {nilai},Il tuo punteggio: {value},スコア: {value},점수: {value},Skor anda: {nilai},Twój wynik: {value},Sua pontuação: {value},Pontuação: {value},Puntuación: {value},Puntuación: {value},คะแนนของคุณ: {value},Puanın: {value},Điểm của bạn: {value}
gdpr_warning,Text,,We've updated our Terms,Мы обновили наши условия,我們更新了我們的合約條款.,条款和条件已更新。,Nous avons mis à jour nos conditions générales.,Unsere Nutzungsbedingungen haben sich geändert.,Kami sudah memperbarui ketentuan kami.,Abbiamo aggiornato i nostri termini e condizioni.,当社の利用規約が更新されました。,약관을 업데이트했습니다.,Kami telah mengemas kini syarat kami.,Zaktualizowaliśmy zasady.,Atualizamos nossos termos e condições.,"Atualizámos os nossos termos e condições. Para continuar a jogar, aceita os novos Termos de Utilização.",Hemos actualizado nuestras condiciones de uso.,Hemos actualizado nuestras condiciones de uso.,เราได้อัปเดตข้อกำหนดในการให้บริการเกมแล้ว,Koşullarımız güncellendi.,Chúng tôi đã cập nhật các điều khoản của mình.
gdpr_description,Text,,By tapping Accept you agree to them,Нажимая «Принять» вы соглашаетесь с ними,點擊即表示您同意服務條款,点击“接受”即表示您同意,"En tapant sur Accepter, vous les acceptez","Durch Tippen auf Akzeptieren, akzeptierst du die",Dengan mengetuk ,Toccando Accetta acconsenti a loro,規約内容を確認して<承諾する>をタップしてください,수락을 누름으로써 약관에 동의하게 됩니다,Dengan mengetik ,"Wybierając przycisk „Akceptuję”, zgadzasz się na nie.","Ao tocar em Aceitar, você concorda com","Tocando em Aceitar, concordas com eles","Al tocar «Aceptar», estarás indicando que las aceptas.",Al tocar Aceptar aceptas dichas condiciones.,หากต้องการเล่นเกมต่อ คุณจะต้องยอมรับข้อกำหนดของเรา:,Kabul Ete tıklayarak bunları kabul etmiş olursunuz,Bằng cách nhấn vào 
gdpr_terms_of_service,Text,,Terms of Service,Условия обслуживания,使用條款,使用条款,Conditions d'utilisation,Nutzungsbedingungen,Ketentuan Penggunaan,Condizioni di utilizzo,利用規約,사용 약관,Terma Perkhidmatan,Regulamin,Termos de Uso,Termos de Utilização,Condiciones de uso,Condiciones de uso,ข้อกำหนดในการให้บริการ,Kullanım Şartları,Điều khoản Dịch vụ
gdpr_privacy_policy,Text,,Privacy Policy,Политика конфиденциальности,隱私條款,隐私条款,Politique de confidentialité,Datenschutzerklärung,Kebijakan kerahasiaan,Informativa sulla privacy,プライバシーポリシー,개인 정보 규정,Dasar privasi,Polityka prywatności,Política de privacidade,Política de privacidad,Política de privacidad,Política de privacidad,นโยบายความเป็นส่วนตัว,Gizlilik politikası,Chính sách bảo mật
accept,Text,,Accept,Принять,接受,接受,Accepter,Annehmen,Setuju,Accetta,承認,수락,Terima,Akceptuj,Aceitar,Aceitar,Aceptar,Aceptar,ยอมรับ,Kabul et,Ch.Nhận
